ChEMBL_ID,SMILES,MolecularWeight,MaxClinicalPhase,csp3_quota,AlogP
CHEMBL1187011,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,334.57,4.0,0.727,6.06
CHEMBL502135,OC1OC[C@@H](O)[C@H](O)[C@H]1O,150.13,4.0,1.0,-2.58
CHEMBL3989555,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1.Cl.Cl.O,481.9,4.0,0.28,5.56
CHEMBL87992,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,296.33,4.0,0.176,3.06
CHEMBL340978,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,301.73,4.0,0.125,4.34
CHEMBL1201051,CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl,288.81,4.0,0.5,0.6
CHEMBL1123,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,309.49,4.0,0.947,4.4
CHEMBL1201102,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl,388.89,4.0,0.333,5.26
CHEMBL4297620,NC(=O)OC[C@H](N)Cc1ccccc1,194.23,4.0,0.3,0.65
CHEMBL4297627,C[C@@H]1CCc2ncc(F)cc2[C@H]2CCCN2c2ccn3ncc(c3n2)C(=O)N1,380.43,1.0,0.4,2.67
CHEMBL2151570,c1cc2cc(-c3ccc(O[C@H]4CN5CCC4CC5)nn3)ccc2[nH]1,320.4,1.0,0.368,3.1
CHEMBL456341,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C(=O)O)C[C@@H]21,400.56,3.0,0.64,6.32
CHEMBL1753,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,424.99,4.0,0.944,0.39
CHEMBL1076930,CO[C@@H]1[C@H](OP(=O)(OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C[C@@H]2O)SCOC(=O)OC(C)C)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O,703.62,2.0,0.6,0.27
CHEMBL2333941,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,320.37,1.0,0.267,3.09
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,543.53,4.0,0.444,0.0
CHEMBL13817,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,528.68,2.0,0.481,1.77
CHEMBL3092562,Cc1nc(-c2cnn(C)c2-c2ccc(C(F)(F)F)cn2)c2c(N3CCC3)ncnn12,414.4,1.0,0.316,3.12
CHEMBL2103810,CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)OCC)c1ccccc1.Cl,566.12,2.0,0.407,2.5
CHEMBL3391662,Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,765.89,4.0,0.425,3.64
CHEMBL667,CC(=O)OCC[N+](C)(C)C,146.21,4.0,0.857,0.26
CHEMBL1242,Nc1ccc(/N=N/c2ccccc2)c(N)n1,213.24,4.0,0.0,2.66
CHEMBL1201147,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,361.49,4.0,0.333,5.77
CHEMBL467399,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,318.77,2.0,0.286,2.13
CHEMBL1524273,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,403.44,4.0,0.0,2.89
CHEMBL2107143,O=P(NCCCl)(NCCCl)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,383.17,3.0,1.0,-1.43
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,268.74,4.0,0.462,1.4
CHEMBL1619785,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21,481.53,4.0,0.333,1.65
CHEMBL4594441,COc1cc(Nc2ncc(C)c(Nc3ccc4oc(=O)[nH]c4c3)n2)cc(C)c1F,395.39,2.0,0.15,4.16
CHEMBL1818341,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,372.53,1.0,0.429,3.88
CHEMBL4297328,O=C(CN1CCOCC1)Nc1ccc(OC2CCN(C3CCC3)CC2)cc1,373.5,2.0,0.667,2.35
CHEMBL3120793,CC(C)OC(=O)[C@H](C)N[P@+]([O-])(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1OC(=O)C(C)C)Oc1ccccc1,644.62,1.0,0.483,1.81
CHEMBL2364624,O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,455.48,3.0,0.32,6.65
CHEMBL1271,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,240.44,4.0,1.0,2.64
CHEMBL4129018,CN1CCN(c2cc(-c3ccncc3)c(-c3ccc4ccccc4c3)nn2)CC1,381.48,2.0,0.208,4.11
CHEMBL2106739,COS(=O)(=O)[O-].C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,451.54,4.0,0.409,2.7
CHEMBL4297321,CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCOP(=O)(O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],579.28,1.0,0.5,0.52
CHEMBL4297526,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,439.31,4.0,0.238,4.18
CHEMBL4594410,COc1ccc(S(=O)(=O)NCc2cc(CN3CCCC3)c(O)c(CN3CCCC3)c2)cc1.O=S(=O)(O)O,557.69,2.0,0.5,3.07
CHEMBL197194,COc1cccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c1,355.37,3.0,0.2,4.0
CHEMBL2105109,CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)n1c(=O)[nH]c3ccccc31)C2,300.36,1.0,0.5,1.51
CHEMBL2000716,NC(=O)CN1C=CCC(C(N)=O)=C1,181.19,2.0,0.25,-0.94
CHEMBL2009034,O=S(=O)(O)CCSSCCS(=O)(=O)O,282.39,3.0,1.0,0.14
CHEMBL1738797,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,482.63,4.0,0.467,4.77
CHEMBL4297262,CCCCCCCCCCCCCCCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](O)[C@@H]1[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]12,702.12,3.0,0.955,10.61
CHEMBL2105760,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,433.58,4.0,0.32,4.72
CHEMBL2095208,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,776.04,4.0,0.475,6.0
CHEMBL2079130,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,345.4,4.0,0.118,2.65
CHEMBL1233524,CN(C)CCN(C)[C@H]1COc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2C1,475.63,1.0,0.483,5.31
CHEMBL4297514,C[C@H]1N=C(N(C)C)N=C(N)N1,155.21,2.0,0.667,-0.83
CHEMBL4300558,CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3C[C@@H](F)C[C@H]3C#N)C[C@@H]2C1,365.45,2.0,0.833,0.82
CHEMBL1200993,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-],891.54,4.0,0.8,5.45
CHEMBL1788403,C=CCC1=C(C)C(OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,302.41,4.0,0.579,4.0
CHEMBL1697686,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,255.75,4.0,0.462,3.41
CHEMBL364804,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,393.47,3.0,0.143,3.87
CHEMBL236593,O=C(N[C@@H]1CC[C@@H](c2cccc(F)c2F)CN(CC(F)(F)F)C1=O)N1CCC(n2c(=O)[nH]c3ncccc32)CC1,566.53,3.0,0.462,3.69
CHEMBL2356023,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@]12C,398.68,4.0,0.786,7.72
CHEMBL272557,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I,371.11,2.0,0.556,-0.98
CHEMBL113051,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,447.49,2.0,0.36,3.23
CHEMBL1232131,O=S(=O)(O)c1cc(O)ccc1O,190.18,4.0,0.0,0.34
CHEMBL2104969,O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccccc3C(F)(F)F)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,745.26,2.0,0.195,9.49
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,646.74,3.0,0.237,6.37
CHEMBL4297382,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O,241.29,2.0,0.75,1.07
CHEMBL4297636,C/C=C\C[C@@H](C/C=C\NC(=O)[C@@H](NC(=O)/C=C\C=C/C(C)=C/[C@H](C)[C@@H]1CC=C(OC)C(=O)O1)C(C)(C)C)OC(N)=O,571.72,2.0,0.484,4.51
CHEMBL2048028,CS(=O)(=O)c1cccc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)c1,615.49,4.0,0.207,4.77
CHEMBL273124,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,325.41,1.0,0.375,4.23
CHEMBL2103829,CN(C)C[C@@H]1CCCC[C@H]1c1cccc(O)c1,233.35,2.0,0.6,3.23
CHEMBL1278146,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,410.49,3.0,0.391,3.3
CHEMBL965,C[N+](C)(C)CCOC(N)=O,147.2,4.0,0.833,-0.21
CHEMBL500853,CCCCCCOC(C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C,636.84,2.0,0.487,9.42
CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,558.15,4.0,0.429,6.36
CHEMBL2165620,O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,396.37,2.0,0.444,3.76
CHEMBL2364626,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21,420.54,2.0,0.375,5.55
CHEMBL3301598,COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O.NC(CO)(CO)CO,704.63,4.0,0.379,1.17
CHEMBL4802149,Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1,317.28,1.0,0.615,1.7
CHEMBL4742157,CONC(=O)c1ccccc1Nc1cc(Nc2cc(C)nn2C(C)C)ncc1Cl,414.9,2.0,0.25,4.6
CHEMBL207197,NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1)C(=O)N1CCN(c2ccncc2)CC1,869.66,2.0,0.447,4.41
CHEMBL197084,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,315.33,3.0,0.692,-1.24
CHEMBL1614766,O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,565.29,1.0,0.3,3.16
CHEMBL4297494,O=C(CCc1ccc(CN[C@H](C(=O)OC2CCCC2)C2CCCCC2)cn1)NO,403.52,2.0,0.682,3.04
CHEMBL4297540,N#CCCCSC(=N)N,143.22,2.0,0.6,0.92
CHEMBL1078685,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,248.25,2.0,0.0,1.8
CHEMBL126224,CN(C)CCCn1c2c(c3ccccc31)CCCCCC2,284.45,4.0,0.579,4.25
CHEMBL1585,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,356.06,4.0,0.8,1.23
CHEMBL4594447,CCCNCCOc1cc(F)cc(S(C)(=O)=O)c1,275.35,2.0,0.5,1.61
CHEMBL1909286,CC(COc1ccccc1)NN,166.22,4.0,0.333,0.92
CHEMBL715,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,312.44,4.0,0.353,3.44
CHEMBL3707351,Cc1cc(O[C@@H](CCC(F)(F)F)c2ccc(C(=O)NCCC(=O)O)cc2)cc(C)c1-c1ccc(C(C)(C)C)cc1,555.64,2.0,0.375,7.94
CHEMBL46257,NCCCCN,88.15,3.0,1.0,-0.32
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33,4.0,0.294,4.44
CHEMBL3545076,Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1,445.42,1.0,0.333,4.3
CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.23,4.0,0.182,1.12
CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,507.5,1.0,0.238,3.14
CHEMBL2095223,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,417.96,4.0,0.5,4.81
CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,384.59,4.0,0.7,4.16
CHEMBL2311071,C=CCl,62.5,4.0,0.0,1.37
CHEMBL125,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.58,4.0,1.0,5.68
CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,428.54,4.0,0.4,4.78
CHEMBL121626,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,261.71,4.0,0.071,4.09
CHEMBL1200581,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.[Na+],635.9,4.0,0.182,3.12
CHEMBL473,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,441.58,4.0,0.368,1.98
CHEMBL412262,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,487.41,2.0,0.13,4.76
CHEMBL641,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.36,4.0,0.294,3.72
CHEMBL440,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,254.35,4.0,0.583,1.52
CHEMBL2362410,CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1.Cl,546.06,3.0,0.68,0.69
CHEMBL768,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,295.38,4.0,0.562,1.53
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,474.59,4.0,0.5,1.61
CHEMBL1200984,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=C(O)/C=C\C(=O)O,524.95,4.0,0.333,2.27
CHEMBL1093458,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,373.5,3.0,0.2,5.36
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,457.69,4.0,0.176,3.53
CHEMBL2107832,O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F,431.2,2.0,0.2,1.65
CHEMBL1201108,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2.Cl,535.05,4.0,0.094,6.51
CHEMBL652,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,414.35,4.0,0.588,3.44
CHEMBL632,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.47,4.0,0.727,1.9
CHEMBL184238,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,338.41,1.0,0.3,3.87
CHEMBL1874750,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,417.51,4.0,0.545,1.49
CHEMBL1201146,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,340.46,4.0,0.727,4.06
CHEMBL3989859,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,472.75,4.0,0.774,9.06
CHEMBL223520,NC[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@@H](O)[C@H](O)[C@H]1O,484.5,1.0,1.0,-7.29
CHEMBL2106217,CCNC(C)Cc1cccc(C(F)(F)F)c1.Cl,267.72,4.0,0.5,3.25
CHEMBL1509,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,366.5,4.0,0.833,4.31
CHEMBL1275,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,410.61,4.0,0.6,4.27
CHEMBL1741,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,747.96,4.0,0.947,2.44
CHEMBL2095209,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,330.51,4.0,0.5,6.47
CHEMBL56021,CC(=O)N[C@@H](CC(C)C)C(=O)O,173.21,3.0,0.75,0.62
CHEMBL278703,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CCC[C@@H]32)cc1,282.34,2.0,0.333,4.12
CHEMBL1471,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,534.43,4.0,0.391,4.95
CHEMBL1200745,C=CCOc1ccccc1OCC(O)CNC(C)C.Cl,301.81,4.0,0.467,1.99
CHEMBL512306,CCN(CC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nn2c(C)cc(C)nc12,398.48,2.0,0.409,3.77
CHEMBL3545311,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,584.11,4.0,0.448,5.09
CHEMBL1732,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,583.69,4.0,0.485,2.08
CHEMBL2107457,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,358.44,3.0,0.35,2.57
CHEMBL656,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,315.37,4.0,0.611,1.05
CHEMBL1672635,Cc1c(N[C@@H](c2nnc(-c3ccc(C#N)cc3)o2)[C@H](C)O)ccc(C#N)c1Cl,393.83,1.0,0.2,3.98
CHEMBL3527000,O=c1[nH]nc2c3c(cccc13)Oc1ccc(CN3CCC(O)CC3)cc1-2,349.39,2.0,0.3,2.65
CHEMBL4594432,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,435.53,1.0,0.458,4.67
CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,586.2,4.0,0.314,8.95
CHEMBL4651180,COc1ccc(-c2c(-c3ccc(C#N)c(F)c3)nc(N3CCC(N)CC3)n(C)c2=O)cc1F,451.48,2.0,0.292,3.2
CHEMBL3301594,COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O,583.5,4.0,0.28,1.17
CHEMBL1076263,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,560.63,2.0,0.36,2.98
CHEMBL4297390,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCCCCc1ccc([124I])cc1,634.63,2.0,0.793,8.28
CHEMBL2103862,O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CC2)CC1,329.44,2.0,0.632,1.44
CHEMBL4802147,C=C(C[C@H](NC(=O)c1ccc(CCc2ccc3nc(N)nc(N)c3c2)cc1)C(=O)O)C(=O)O,449.47,2.0,0.174,1.79
CHEMBL1766,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,376.47,4.0,0.727,2.78
CHEMBL181932,O=C(O)c1nc(=O)[nH]c(=O)[nH]1,157.08,3.0,0.0,-1.84
CHEMBL4297371,[2H]C([2H])([2H])[C@H](O)C([2H])([2H])CCCn1c(=O)c2c(ncn2C)n(C)c1=O,285.36,2.0,0.615,-0.02
CHEMBL1715,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,392.91,4.0,0.316,3.16
CHEMBL1256472,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,279.68,3.0,0.556,-2.56
CHEMBL3715108,COc1ccc(OC(C)C(=O)[O-])cc1.[Na+],218.18,1.0,0.3,1.55
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,216.19,4.0,0.083,2.55
CHEMBL550495,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],373.91,4.0,0.25,2.5
CHEMBL511099,Cc1ccc(C23CNCC2C3)cc1,173.26,3.0,0.5,1.86
CHEMBL1643,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,244.21,4.0,0.625,-3.01
CHEMBL1794791,O=C(O)CC(=O)C(=O)O,132.07,2.0,0.25,-0.89
CHEMBL2062259,O=C(O)C(O)C(O)C(=O)O.c1cnc2cc3c(cc2n1)C1CNCC3C1,361.35,4.0,0.412,1.8
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8,4.0,0.5,2.0
CHEMBL1201353,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,274.8,4.0,0.312,3.82
CHEMBL1572,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,475.59,4.0,0.905,-3.2
CHEMBL254316,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,444.42,4.0,0.3,0.91
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,357.44,4.0,0.278,2.49
CHEMBL2062266,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341.O=C(O)C(O)C(O)C(=O)O,451.47,4.0,0.636,1.73
CHEMBL279816,ClC=C(Cl)Cl,131.39,4.0,0.0,2.5
CHEMBL1976040,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,500.61,2.0,0.333,2.89
CHEMBL1200920,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1.Cl,275.78,4.0,0.538,1.91
CHEMBL290106,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,356.06,4.0,0.0,5.86
CHEMBL1671,CC(C)NCC(O)COc1cccc2ccccc12.Cl,295.81,4.0,0.375,2.58
CHEMBL1697,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,450.99,4.0,0.364,3.37
CHEMBL2106939,CCCCCCNC(=N)NC(=N)N,185.27,4.0,0.75,0.57
CHEMBL474579,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,575.63,4.0,0.412,-1.4
CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,403.53,4.0,0.4,4.06
CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,267.31,4.0,0.182,1.67
CHEMBL4594271,N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,562.57,4.0,0.233,5.7
CHEMBL2103774,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,312.45,4.0,0.762,3.88
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,551.77,4.0,0.733,3.29
CHEMBL1742424,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl,415.96,4.0,0.6,2.89
