ChEMBL_ID,SMILES,MolecularWeight,MaxClinicalPhase,csp3_quota,AlogP
CHEMBL3545363,CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,838.88,4.0,0.632,3.86
CHEMBL1363,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,344.41,4.0,0.316,2.22
CHEMBL1950553,Nc1nc(OCCc2ccc(Cl)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,421.84,2.0,0.389,0.29
CHEMBL579217,COc1cc2c(cc1OCCCF)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21,365.49,2.0,0.714,3.76
CHEMBL4594440,Fc1cc(F)c2c(c1)C[C@@H](n1c(CCNCc3ccccc3)c[nH]c1=S)CO2,401.48,2.0,0.286,4.33
CHEMBL2107817,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],287.23,4.0,0.714,-1.53
CHEMBL649,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,309.41,4.0,0.647,0.63
CHEMBL1200869,Cc1ncc([N+](=O)[O-])n1CCO.Cl,207.62,4.0,0.5,0.09
CHEMBL1200688,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,862.06,4.0,0.907,2.68
CHEMBL1229908,CCN(CC)C(=O)c1ccc(O)c(OC)c1,223.27,4.0,0.417,1.88
CHEMBL1051,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,432.6,4.0,0.654,4.19
CHEMBL4297467,Nc1ccc(/C=C/C(=O)NCc2cc3cc(-c4ccc(C(=O)N5CCC(F)(F)CC5)cc4)cc(-c4ccc(F)cc4)c3o2)cn1,610.64,1.0,0.171,7.08
CHEMBL3137304,Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](O)(C(F)(F)F)CC[C@@]21Cc1ccccc1,494.56,2.0,0.379,6.16
CHEMBL4597193,Cc1cc(C)c(CNC(=O)c2cc(Cl)c3c(c2C)O[C@@](C)([C@H]2CC[C@H](N(C)C)CC2)O3)c(=O)[nH]1,488.03,2.0,0.538,4.49
CHEMBL2103849,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,516.67,3.0,0.56,2.83
CHEMBL498485,COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,368.39,3.0,0.19,4.09
CHEMBL253376,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,376.14,4.0,0.571,4.56
CHEMBL1144,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,424.53,4.0,0.739,2.44
CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,157.21,4.0,0.875,0.84
CHEMBL5095169,CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,556.71,1.0,0.536,4.32
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,263.38,4.0,0.625,2.73
CHEMBL88712,O=C(O)[C@@H](c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCC1,361.44,3.0,0.304,5.17
CHEMBL1200365,Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+],216.17,4.0,0.111,0.08
CHEMBL2104523,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1,402.5,3.0,0.571,3.13
CHEMBL1617,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,785.89,4.0,0.442,6.16
CHEMBL1195,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,294.4,4.0,0.562,2.56
CHEMBL1229517,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,489.93,4.0,0.13,5.54
CHEMBL284906,O=C(NCCO[N+](=O)[O-])c1cccnc1,211.18,4.0,0.25,0.02
CHEMBL986,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,286.46,4.0,0.5,5.51
CHEMBL1314,CC(S)C(=O)NCC(=O)O,163.2,4.0,0.6,-0.49
CHEMBL606,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,382.54,4.0,0.818,3.95
CHEMBL4297369,CC(=O)Nc1ccc(C(=O)NC(C)(C)C)cc1,234.3,2.0,0.385,2.17
CHEMBL12420,CN(C)CCc1c[nH]c2ccccc12,188.27,1.0,0.333,2.27
CHEMBL483158,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,518.93,3.0,0.111,5.75
CHEMBL847,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,279.34,4.0,0.571,1.81
CHEMBL5095213,CCCCCC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])O)cc1)C(=O)N[C@H](C(=O)NCCCCCC(N)=O)[C@@H](C)CC.[Na+],606.63,3.0,0.63,2.46
CHEMBL5095170,CCN(Cc1nc2c(N)nc3cc(-c4cc[nH]n4)ccc3c2[nH]1)C(C)=O,349.4,1.0,0.222,2.45
CHEMBL5095235,CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1,400.5,1.0,0.545,2.82
CHEMBL5095028,CC(C)N1C[C@@H]2C[C@H]1CN2c1ccc(Nc2ncc(-c3coc(C(N)=O)c3)n3ncnc23)cc1,458.53,2.0,0.333,2.9
CHEMBL1200695,CC(N)C(O)c1ccccc1.Cl,187.67,4.0,0.333,1.07
CHEMBL1707,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,513.51,4.0,0.345,5.09
CHEMBL4776719,[2H]C1([2H])[C@H]2C[C@@H](Oc3ccc(C(F)(F)F)cn3)[C@H](C2)N1C(=O)c1cccc(F)c1-c1ncccn1,460.43,2.0,0.304,4.38
CHEMBL43128,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O,455.34,4.0,0.4,2.78
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.52,4.0,0.231,6.0
CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.49,4.0,0.522,3.59
CHEMBL2105891,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=S(=O)(O)O,648.78,4.0,0.533,1.77
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,444.49,4.0,0.364,-0.14
CHEMBL1800955,COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,401.44,3.0,0.35,3.06
CHEMBL1079742,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.9,4.0,0.273,3.41
CHEMBL1243,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,276.32,4.0,0.0,1.39
CHEMBL2106922,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.O=C(O)/C=C\C(=O)O,441.85,4.0,0.091,4.32
CHEMBL2106825,CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,340.51,4.0,0.739,5.28
CHEMBL2106636,CCCCNCC(O)c1ccc(O)cc1.CCCCNCC(O)c1ccc(O)cc1.O=S(=O)(O)O,516.66,4.0,0.5,1.82
CHEMBL1654,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O.[Na+],305.1,4.0,0.286,-0.37
CHEMBL242580,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,268.36,4.0,0.643,2.44
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,628.81,4.0,0.432,4.33
CHEMBL1167,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O,332.35,4.0,0.929,-2.93
CHEMBL299613,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,302.41,2.0,0.684,3.62
CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.85,4.0,0.111,4.18
CHEMBL1200870,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,432.5,4.0,0.647,0.5
CHEMBL1408594,CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,473.57,4.0,0.423,4.57
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.39,4.0,0.353,2.66
CHEMBL74415,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,310.44,3.0,0.429,5.73
CHEMBL1678,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,415.96,4.0,0.458,4.36
CHEMBL1201314,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,354.37,4.0,0.571,-1.44
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19,4.0,0.222,0.05
CHEMBL690,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],446.52,4.0,0.739,2.44
CHEMBL70971,COC(=O)Nc1nc2ccccc2[nH]1,191.19,1.0,0.111,1.74
CHEMBL1200927,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,390.87,4.0,0.25,3.82
CHEMBL962,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)[O-])O[C@H]2C[C@H]1O.[Na+],374.45,4.0,0.75,3.41
CHEMBL396416,N[C@@H](CSCC(=O)O)C(=O)O,179.2,4.0,0.6,-0.78
CHEMBL1295,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,411.79,4.0,0.211,6.64
CHEMBL187709,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,438.01,4.0,0.333,5.85
CHEMBL1194,CCCNC(C)C(=O)Nc1ccccc1C,220.32,4.0,0.462,2.32
CHEMBL672,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,360.84,4.0,0.3,4.68
